Personnage(s);Auteur(s);Coordonnées géographiques;Année;Photo
Billy the Cat;Colman & Desberg;50.8534930829,4.34524297714;2000;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/b2215523eedb6396e5ec5ccf6ada9870
Martine - Tinny;Marcel Marlier;50.876218314,4.35929775238;2004;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/656d7544347a4e7492af9413b42f3c2a
Broussaille - Ragebol;Frank Pé;50.8467465143,4.34942722321;1999;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/296259f66e1379c5e6781989ee935416
Jommeke;Jef Nys;50.8746816,4.3482216;2015;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/8adc26aceaf17c828e3f310dbf49e075
Caroline Baldwin;Taymans & Wesel;50.8487380728,4.33895587921;2003;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/10d324e949e26278c88c09700b5e0cd4
Le grand loup qui porte le mouton - De grote Wolf die het schaap draagt;Dominique Goblet;50.855695,4.354617;2018;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/a375647053919b33318b03a76b9de996
Blake & Mortimer;Jacobs;50.8510004885,4.34200286865;2005;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/8f01df8b83c6a04a22194f34502c5630
Le Passage - De Doorgang;Schuiten;50.8462858696,4.35052156448;1995;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/bd23878a62f4bcbb85bca735ba05b392
Blondin & Cirage - Blondie & Blinkie;Jijé;50.8382916052,4.34736728668;1998;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/990e0191a4928f1deadef2f4932de102
Néron - Nero;Marc Sleen;50.8477084341,4.34680938721;1995;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/d6a587b452a8727bc7cbd785204a3d42
Gaston Lagaffe - Guust Flater;Franquin;50.8492461098,4.3537402153;2007;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/fb6617f37320b3fb6f82f63293e20b0a
La Vache - De Koe;Johan de Moor;50.8528725,4.357844;1999;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/8b1bb4660691667aa29ab7acf59c60f7
Cori;Bob de Moor;50.8482909956,4.3421959877;1998;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/dc23326212701911e44ca2116de3aa0c
Schtroumpfs - Smurfen (Smurfs);Peyo;50.845641,4.355886;2018;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/d9de9238214df39ba51e8e35f4ac0e9f
Léonard;Turk & De Groot;50.8381135,4.3468826;2015;https://opendata.bruxelles.be/api/v2/catalog/datasets/bruxelles_parcours_bd/files/110bd87c7ced669ff22d9918da117788
